key,value
browser.performance.duplicateNetworkRequests,
browser.development.metaDescriptionPresent,
browser.development.metaDescriptionLength,
browser.development.faviconPresent,
browser.development.canonicalUrlPresent,
browser.development.hreflangImplemented,
browser.development.cssBeforeScriptsInHead,
browser.development.externalLinksHaveNoopener,
browser.development.customErrorPagesExist,
browser.development.responsiveAtAllBreakpoints,
browser.development.clsInPerformancePanel,
browser.development.noRenderBlockingResources,
browser.development.noConsoleLogInProduction,
browser.development.noViolationMessagesInConsole,
browser.development.noForcedSyncLayoutsInFlameChart,
browser.development.noExcessiveRepaintsOnScroll,
browser.development.noDetachedDomNodes,
browser.development.preloadedResourcesConsumed,
browser.development.webFontsLoadWithoutFoit,
code.html.semantics.semanticToDivRatioPass,
code.html.semantics.headingHierarchyCorrect,
code.html.semantics.singleH1PerPage,
code.html.structure.domSourceOrderMatchesTabOrder,
code.html.structure.criticalContentInRawHtml,
code.html.structure.excessiveDomDepth,
code.html.forms.radioCheckboxHaveFieldsetLegend,
code.html.forms.allInputsHaveLabels,
code.html.forms.missingLabelsCount,
code.html.forms.placeholderUsedAsLabel,
code.html.forms.errorMessagesLinkedToInputs,
code.html.forms.interactiveElementsHaveAccessibleNames,
code.html.forms.inlineStylesCount,
code.html.media.decorativeImagesHaveEmptyAlt,
code.html.media.altTextQualityPass,
code.html.media.missingOrInvalidAltCount,
code.html.media.tablesHaveTheadTbody,
code.html.media.tableHeadersUseTh,
code.html.media.listsUseUlOrOlCorrectly,
code.html.media.imgElementsHaveDimensionsForCls,
code.html.metadata.pageTitlePresent,
code.html.metadata.pageTitleQualityPass,
code.html.metadata.metaViewportConfigured,
code.html.metadata.charsetDeclaredInHead,
code.html.metadata.langAttributeValid,
code.html.metadata.dirAttributeForRtl,
code.html.metadata.duplicateIdsCount,
code.html.metadata.invalidHtmlNestingCount,
code.html.metadata.htmlValidationErrorCount,
code.html.metadata.ariaRolesDontDuplicateSemantics,
code.html.metadata.noAriaMisuse,
code.html.metadata.ariaUsedOnlyWhenNecessary,
code.html.metadata.metaTagsDoNotBlockZoom,
code.html.metadata.brokenLinksCount,
code.css.tokens.cssVarsUsedForColors,
code.css.tokens.cssVarsUsedForSpacing,
code.css.tokens.cssVarsUsedForTypography,
code.css.tokens.cssVarsUsedForFontFamily,
code.css.tokens.hardcodedHexOrRgbCount,
code.css.tokens.hardcodedPixelSpacingCount,
code.css.maintainability.namingConventionsConsistent,
code.css.maintainability.classNamesAvoidColorOrPosition,
code.css.maintainability.selectorsColocatedInSameFile,
code.css.maintainability.printStylesheetHidesNonEssential,
code.css.layout.modernLayoutUsed,
code.css.layout.mobileFirstMediaQueries,
code.css.layout.standardBreakpointsOnly,
code.css.layout.responsiveImagesByDefault,
code.css.layout.zIndexEscalationIssues,
code.css.performance.noExpensiveBoxShadows,
code.css.performance.noHeavyCssFilters,
code.css.performance.noInfiniteAnimationsOnNonLoaders,
code.css.performance.cssCompatibilityIssuesCount,
code.css.performance.vendorPrefixIssues,
code.css.quality.duplicateCssRulesCount,
code.css.quality.unusedCssSelectorsCount,
code.css.quality.propertyOrderingConsistent,
code.javascript.loading.noBlockingScriptsInHead,
code.javascript.loading.asyncOrDeferUsed,
code.javascript.loading.thirdPartyScriptsLazyLoaded,
code.javascript.loading.noUnusedModulesLoaded,
code.javascript.loading.noMarketingTagsInHead,
code.javascript.loading.userFacingStringsUseI18nKeys,
code.javascript.loading.noBinariesInRepo,
code.javascript.loading.errorMessagesFollowPattern,
code.javascript.dom.noTightDomCoupling,
code.javascript.dom.noForcedSyncLayoutsInCode,
code.javascript.dom.timerLeaksCount,
code.javascript.dom.pollingWithoutObserverCount,
code.javascript.dom.prefersNativeBrowserApis,
code.javascript.dom.modernEs6SyntaxUsed,
code.javascript.state.noMemoryLeakRisks,
code.javascript.state.eventListenersCleanedUp,
code.javascript.state.asyncAwaitUsed,
code.javascript.state.promisesHandledCorrectly,
code.javascript.state.stateMutationThroughSetters,
code.javascript.state.noSharedStateMutation,
code.javascript.state.noSideEffectsInPureFunctions,
code.javascript.state.consistentReturnTypes,
code.javascript.state.noStateMutationInLoops,
code.javascript.structure.globalVariablesCount,
code.javascript.structure.jsScopedToComponent,
code.javascript.structure.codingStyleConsistent,
code.javascript.structure.deeplyNestedCallbacksCount,
code.javascript.structure.callChainDepthWithinLimit,
code.javascript.structure.inputValidationPresent,
code.javascript.structure.noUnreachableCode,
code.javascript.structure.noEmptyCatchBlocks,
code.javascript.structure.noUnusedNpmPackages,
code.javascript.structure.noUnusedComponentProps,
code.accessibility.wcag.wcag21AAComplianceMet,
code.accessibility.wcag.dynamicContentChangesAnnounced,
code.accessibility.components.modalDialogAriaCorrect,
code.accessibility.components.videoCaptionsPresent,
code.accessibility.components.audioTranscriptsPresent,
code.accessibility.components.noFocusTrapMisuse,
code.accessibility.css.visibleFocusStylesPresent,
code.accessibility.css.hoverRulesHaveFocusEquivalent,
code.accessibility.css.visuallyHiddenPatternCorrect,
code.security.clientCode.noEvalOrFunctionString,
code.security.clientCode.noDocumentWrite,
code.security.clientCode.externalScriptsHaveSri,
code.security.clientCode.noUnsanitizedInnerHtml,
code.security.secrets.noHardcodedApiKeys,
code.security.secrets.noCredentialsInUrls,
code.security.secrets.noSensitiveDataInComments,
code.security.secrets.noInsecureStorageForSecrets,
code.security.secrets.noPiiInStorageWithoutConsent,
code.security.dependencies.noKnownVulnerableDependencies,
code.security.input.noSensitiveDataInClientVisibleAttributes,
code.quality.hygiene.lintErrorsCount,
code.quality.hygiene.unusedVariablesCount,
code.quality.hygiene.unusedFunctionsCount,
code.quality.hygiene.unusedImportsCount,
code.quality.hygiene.deadCodePathsCount,
code.quality.hygiene.deadCodeFilesCount,
code.quality.hygiene.commentedOutCodeCount,
code.quality.hygiene.implicitGlobalsCount,
code.quality.hygiene.fileStructureConsistent,
code.quality.hygiene.duplicateConstantsCount,
code.quality.readability.variableNamingViolationsCount,
code.quality.readability.functionNamingViolationsCount,
code.quality.readability.namingConventionsConsistent,
code.quality.readability.complexConditionsCount,
code.quality.readability.missingGuardClausesCount,
code.quality.readability.oversizedFilesOrFunctionsCount,
code.quality.readability.singleResponsibilityViolationsCount,
code.quality.readability.readmePresent,
code.quality.reliability.inconsistentErrorHandlingCount,
code.quality.reliability.poorErrorLoggingCount,
code.quality.reliability.ungracefulErrorsCount,
code.quality.reliability.magicNumbersCount,
code.quality.reliability.uncentralizedConstantsCount,
code.quality.reliability.hardcodedBehaviorCount,
code.quality.reliability.duplicatedUtilitiesCount,
code.quality.reliability.duplicateCodePercent,
code.quality.architecture.hardcodedEnvValuesCount,
code.quality.architecture.circularDependenciesCount,
code.quality.architecture.staleTodoFixmeCount,
code.governance.vcs.gitRepositoryInitialized,
code.governance.vcs.gitignorePresent,
code.governance.vcs.lockfileCommitted,
code.governance.quality.preCommitHooksConfigured,
code.governance.config.nodeVersionSpecified,
code.governance.genai.noMockDataInProduction,
manual.discovery.businessObjectivesAndKpisDefined,
manual.discovery.targetAudienceAndPersonasDefined,
manual.discovery.cdnProviderAndRepoIdentified,
manual.discovery.edsAuthoringAndContentRequirementsDefined,
manual.discovery.edsBlockRequirementsAndStructureDefined,
manual.discovery.integrationAndMarTechRequirementsDefined,
manual.discovery.nonFunctionalRequirementsDefined,
manual.discovery.seoRoutingAndLocalizationDefined,
manual.design.hldDocumented,
manual.design.blockAndFragmentDesignComplete,
manual.design.performanceByDesignGoalsDefined,
manual.design.responsiveAndAccessibilityStrategyDefined,
manual.design.seoAndErrorStrategyDesigned,
manual.setup.cdnConfigured,
manual.setup.repoAndContentSourceConfigured,
manual.setup.aemSidekickInstalledAndConfigured,
manual.setup.ciCdPipelineConfigured,
manual.setup.devStagingProdEnvironmentsSetUp,
manual.setup.prProcessAndBranchingStrategyDefined,
manual.setup.i18nAndTranslationSetup,
manual.visualDesign.uiMatchesDesignMockupsAtAllViewports,
manual.visualDesign.brandingAndInteractiveStatesConsistent,
manual.userExperience.coreUserFlowsIntuitive,
manual.userExperience.loadingEmptyErrorStatesPresent,
manual.userExperience.formValidationUxVerified,
manual.contentQuality.copySpellingGrammarLegalTextVerified,
manual.contentQuality.cookieConsentMeetsGdprCcpa,
manual.testing.contentPreviewAndPublishWorkflowValidated,
manual.testing.functionalAndE2ETestingComplete,
manual.testing.unitTestsAutomatedInCiCd,
manual.testing.rumSetUpAndConfigured,
manual.testing.crossBrowserAndDeviceTestingComplete,
manual.security.apiEndpointsSecured,
manual.security.rbacImplemented,
manual.security.dataEncryptionAndGdprCompliant,
manual.security.secretsManagementAndPenTestingDone,
manual.authorValidation.authorTrainingAndSidekickVerified,
manual.authorValidation.authorWorkflowValidatedInDocsSheets,
manual.authorValidation.blockUsabilityReviewComplete,
manual.authorValidation.documentToWebRenderingValidated,
manual.performance.cdnCachingStrategyValidated,
manual.performance.rumMonitoringAndAlertsConfigured,
manual.performance.aboveTheFoldLoadsWithin2500ms,
manual.accessibility.screenReaderTestingComplete,
manual.accessibility.keyboardOnlyNavigationTested,
manual.accessibility.axeWaveToolsRunAndRemediated,
manual.i18n.rtlLayoutVerified,
manual.i18n.textExpansionDoesNotBreakLayout,
manual.i18n.localeFormattingCorrect,
manual.architectureReview.designTokensMatchFigma,
manual.architectureReview.webfontStrategyReviewed,
manual.preGoLive.cdnCachingAndDnsFinalized,
manual.preGoLive.deploymentAndRollbackPlanCreated,
manual.preGoLive.previewAndLiveDomainValidated,
manual.preGoLive.finalE2eSmokeLoadTestingComplete,
manual.preGoLive.seoLaunchReadinessVerified,
manual.postGoLive.centralizedLoggingAndAlertsConfigured,
manual.postGoLive.cwvRumCdnMonitoringSetup,
manual.postGoLive.authorSupportAndHelpdeskEstablished,
manual.postGoLive.incidentResponseAndSlasDefined,
manual.postGoLive.seoIndexingAndAnalyticsMonitored,
manual.postGoLive.continuousImprovementPlanInPlace,
manual.governance.projectManagementToolActivelyUsed,
manual.governance.codeReviewProcessWithSlaDefined,
manual.governance.qaEnvironmentMirrorsProduction,
manual.governance.genAiGovernancePolicyDocumented,
risk.discovery,
risk.contentQuality,
risk.internationalization,
risk.design,
risk.userExperience,
risk.visualDesign,
risk.setup,
risk.development,High
risk.architectureReview,
risk.testing,
risk.security,Medium
risk.performance,Medium
risk.accessibility,High
risk.authorValidation,
risk.preGoLive,
risk.postGoLive,
risk.processGovernance,Medium
status.ragRating,Red
status.goLiveReady,No
status.mandatoryPassRate,52.1
status.criticalPassRate,47.9
status.highPassRate,58.7
status.totalBlockingIssues,78
trend.totalIssues,86
trend.criticalIssues,25
trend.overallCompliance,51.2
trend.accessibilityCompliance,18.2
trend.performanceCompliance,62.5
trend.securityCompliance,65.2
trend.developmentCompliance,53.7
topIssues.count,10
topIssues.1.auditType,Code Audit
topIssues.1.phase,Development
topIssues.1.group,HTML Forms & Inputs
topIssues.1.subGroup,Forms
topIssues.1.severity,Critical
topIssues.1.mandatory,Yes
topIssues.1.description,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage
topIssues.1.evidence,blocks/eds-form/eds-form.js:679-687
topIssues.2.auditType,Code Audit
topIssues.2.phase,Development
topIssues.2.group,HTML Forms & Inputs
topIssues.2.subGroup,Forms
topIssues.2.severity,Critical
topIssues.2.mandatory,Yes
topIssues.2.description,Accessible names for interactive elements
topIssues.2.evidence,blocks/tag-utility-nav/tag-utility-nav.js:99-117
topIssues.3.auditType,Code Audit
topIssues.3.phase,Development
topIssues.3.group,HTML Metadata & Validation
topIssues.3.subGroup,IDs
topIssues.3.severity,Critical
topIssues.3.mandatory,Yes
topIssues.3.description,No duplicate IDs
topIssues.3.evidence,blocks/brightcove-video/brightcove-video.js:944-948
topIssues.4.auditType,Code Audit
topIssues.4.phase,Development
topIssues.4.group,HTML Metadata & Validation
topIssues.4.subGroup,Validation
topIssues.4.severity,Critical
topIssues.4.mandatory,Yes
topIssues.4.description,No invalid HTML nesting
topIssues.4.evidence,blocks/header/header.js:658 (a nested inside button)
topIssues.5.auditType,Code Audit
topIssues.5.phase,Development
topIssues.5.group,HTML Metadata & Validation
topIssues.5.subGroup,Validation
topIssues.5.severity,Critical
topIssues.5.mandatory,Yes
topIssues.5.description,HTML validates without errors
topIssues.5.evidence,"blocks/header/header.js:658, 404.html:6"
topIssues.6.auditType,Code Audit
topIssues.6.phase,Development
topIssues.6.group,CSS Architecture & Tokens
topIssues.6.subGroup,Design Tokens
topIssues.6.severity,Critical
topIssues.6.mandatory,Yes
topIssues.6.description,CSS variables used for all colors
topIssues.6.evidence,"blocks/eds-form/eds-form.css:1112, blocks/modal/modal.css:12"
topIssues.7.auditType,Code Audit
topIssues.7.phase,Development
topIssues.7.group,CSS Architecture & Tokens
topIssues.7.subGroup,Design Tokens
topIssues.7.severity,Critical
topIssues.7.mandatory,Yes
topIssues.7.description,No hardcoded hex/rgb color values
topIssues.7.evidence,"blocks/eds-form/eds-form.css:1112, blocks/modal/modal.css:12, blocks/header/header.css:604"
topIssues.8.auditType,Code Audit
topIssues.8.phase,Development
topIssues.8.group,Performance & Misc - CSS
topIssues.8.subGroup,Compatibility
topIssues.8.severity,Critical
topIssues.8.mandatory,Yes
topIssues.8.description,All CSS properties/values supported in target browsers
topIssues.8.evidence,"blocks/cards/cards.css:21 (:has() without fallback), no .browserslistrc"
topIssues.9.auditType,Code Audit
topIssues.9.phase,Development
topIssues.9.group,JavaScript State & Reliability
topIssues.9.subGroup,Async
topIssues.9.severity,Critical
topIssues.9.mandatory,Yes
topIssues.9.description,Avoid memory leaks
topIssues.9.evidence,123 addEventListener vs 1 removeEventListener across blocks
topIssues.10.auditType,Code Audit
topIssues.10.phase,Development
topIssues.10.group,JavaScript Code Structure & Hygiene
topIssues.10.subGroup,Structure
topIssues.10.severity,Critical
topIssues.10.mandatory,Yes
topIssues.10.description,No global variables
topIssues.10.evidence,window.providerToMarkerMap in maps.js:271; window.filterOptions in find-an-injector.js:758
components.count,5
components.1.name,header.js
components.1.path,blocks/header/header.js
components.1.failedChecks,2
components.1.criticalFailures,2
components.1.healthScore,0
components.2.name,eds-form.js
components.2.path,blocks/eds-form/eds-form.js
components.2.failedChecks,3
components.2.criticalFailures,2
components.2.healthScore,0
components.3.name,brightcove-video.js
components.3.path,blocks/brightcove-video/brightcove-video.js
components.3.failedChecks,3
components.3.criticalFailures,2
components.3.healthScore,0
components.4.name,linklist.js
components.4.path,blocks/linklist/linklist.js
components.4.failedChecks,2
components.4.criticalFailures,1
components.4.healthScore,0
components.5.name,story-card.js
components.5.path,blocks/story-card/story-card.js
components.5.failedChecks,2
components.5.criticalFailures,1
components.5.healthScore,0
